timestep	potential_energy	temperature
250000000	3091.338379	1.000964761
250020000	3751.141602	1.204761386
250040000	3919.790039	1.226869226
250060000	3937.814453	1.275487542
250080000	3976.049561	1.304566622
250100000	4090.138672	1.288462996
250120000	4127.219727	1.310136318
250140000	4084.626953	1.310523272
250160000	4096.010254	1.312580705
250180000	4016.033203	1.304388523
250200000	4075.839844	1.311827779
250220000	3875.412598	1.340353727
250240000	4082.77832	1.347425342
250260000	4179.858398	1.32785058
250280000	4054.132812	1.295206666
250300000	3947.589355	1.265381932
250320000	3995.569824	1.244984746
250340000	3967.515625	1.297969341
250360000	4144.90918	1.327277422
250380000	4163.880371	1.331909657
250400000	4147.226074	1.29562676
250420000	3968.081543	1.3038764
250440000	4004.975098	1.322927594
250460000	4136.056641	1.292342067
250480000	4021.076172	1.304772139
250500000	3955.516846	1.318289638
250520000	3977.379395	1.311998129
250540000	4096.638672	1.293428183
250560000	4044.288818	1.318895817
250580000	4114.930176	1.267512202
250600000	4002.667969	1.336344481
250620000	4077.508545	1.34655571
250640000	4011.941895	1.320114017
250660000	4053.291504	1.273557901
250680000	4004.779785	1.304359674
250700000	4174.204102	1.301033616
250720000	3995.968994	1.291821003
250740000	4072.295898	1.30957377
250760000	4149.78418	1.298334599
250780000	4033.333008	1.258784533
250800000	4021.118164	1.272957206
250820000	4043.123291	1.278079033
250840000	3991.75415	1.302232265
250860000	4189.598633	1.30719769
250880000	4000.630127	1.296410918
250900000	4090.608887	1.299128413
250920000	4016.62085	1.341584682
250940000	4072.401367	1.297728062
250960000	4132.447754	1.336232543
250980000	4139.189941	1.311730862
251000000	4097.360352	1.309608936
251020000	4014.006592	1.346057653
251040000	4015.457031	1.307595134
251060000	3990.686768	1.32087791
251080000	4149.630859	1.324595571
251100000	4131.570312	1.304379344
251120000	4107.103516	1.323929429
251140000	4101.971191	1.309699535
251160000	4063.376465	1.34319818
251180000	4194.695312	1.297540188
251200000	4091.112305	1.285352349
251220000	4024.687012	1.304362893
251240000	4004.771484	1.290857315
251260000	4074.408203	1.275192022
251280000	4036.661865	1.262531996
251300000	3968.101074	1.271955132
251320000	3914.684082	1.28783381
251340000	3976.058105	1.294017553
251360000	3953.311035	1.293841362
251380000	4124.73877	1.326281786
251400000	4200.183594	1.346436739
251420000	3924.762695	1.314134598
251440000	3741.634766	1.32649672
251460000	4125.786133	1.322971463
251480000	4132.526367	1.330330491
251500000	3982.482666	1.317023396
251520000	3897.592529	1.303406596
251540000	4034.688965	1.281103373
251560000	3997.446045	1.293826699
251580000	4055.064209	1.315785646
251600000	3982.534912	1.326592565
251620000	4083.409668	1.317378163
251640000	4049.223877	1.305029511
251660000	4047.317139	1.291422367
251680000	4009.599365	1.312649369
251700000	4069.502441	1.323736429
251720000	4015.503662	1.316309571
251740000	4080.234863	1.284411788
251760000	3947.746094	1.293035984
251780000	4156.942383	1.300765514
251800000	4046.578857	1.327814341
251820000	4126.290039	1.333725214
251840000	4087.126953	1.342099905
251860000	4041.910889	1.336307645
251880000	3959.237793	1.302530169
251900000	4139.876465	1.276821852
251920000	4193.340332	1.30261457
251940000	4115.708984	1.301242828
251960000	3989.501465	1.298408628
251980000	4139.419922	1.30760181
