timestep	potential_energy	temperature
290000000	3145.80957	0.9791660905
290020000	3712.990723	1.233715892
290040000	3916.589355	1.280847073
290060000	3896.62207	1.27097106
290080000	4067.07373	1.264109731
290100000	4018.036865	1.30204463
290120000	3921.405762	1.289119363
290140000	4035.97998	1.274529457
290160000	4024.7229	1.286980391
290180000	4110.503906	1.278677464
290200000	4000.049561	1.289114475
290220000	4027.254883	1.315991879
290240000	3989.462891	1.270877361
290260000	4032.905029	1.302968144
290280000	3998.53833	1.307681203
290300000	4120.274414	1.30584991
290320000	3995.995361	1.292499185
290340000	4108.43457	1.267294049
290360000	4075.25293	1.310751796
290380000	4037.097168	1.342188478
290400000	4149.822266	1.308319092
290420000	4067.971436	1.303743601
290440000	4068.714844	1.293044806
290460000	3998.54248	1.333546519
290480000	4110.697266	1.299177885
290500000	4080.176025	1.308891416
290520000	4133.867188	1.317572474
290540000	4051.127441	1.308921099
290560000	4138.658203	1.303387523
290580000	4238.295898	1.314098477
290600000	4132.140137	1.296168208
290620000	4053.896973	1.265667677
290640000	4013.836426	1.31731534
290660000	4175.951172	1.295255303
290680000	3931.294189	1.310933828
290700000	3979.211914	1.305513501
290720000	3992.900879	1.309982896
290740000	4178.168945	1.291635513
290760000	3991.644043	1.29710567
290780000	4028.690186	1.300758839
290800000	4043.728027	1.286241412
290820000	3949.835449	1.263035178
290840000	4004.040039	1.285318017
290860000	4148.414551	1.342146277
290880000	3940.085693	1.324186206
290900000	4085.754883	1.29311347
290920000	4185.263672	1.299281716
290940000	4162.751953	1.315508604
290960000	4028.64209	1.307958961
290980000	4083.219238	1.311375618
291000000	4120.680664	1.314961433
291020000	4096.442871	1.31519568
291040000	3994.365234	1.298119307
291060000	4098.72168	1.282457709
291080000	4186.731934	1.288783193
291100000	4094.456055	1.269693613
291120000	4044.80957	1.314393759
291140000	4059.309814	1.338549972
291160000	4095.576172	1.334153771
291180000	4164.033203	1.334629178
291200000	4197.723633	1.330412865
291220000	4091.537109	1.324569702
291240000	4108.257324	1.310961246
291260000	4139.873047	1.286681414
291280000	4081.169434	1.295985103
291300000	4049.921631	1.30772388
291320000	4006.291748	1.314932227
291340000	4039.709229	1.33147347
291360000	4126.507812	1.339155078
291380000	4115.165527	1.340171814
291400000	4136.888184	1.324837565
291420000	4091.525879	1.305558443
291440000	4081.818848	1.303980708
291460000	4156.958008	1.293953061
291480000	4066.21167	1.329144478
291500000	4207.839355	1.309728265
291520000	4067.31543	1.31732142
291540000	4104.245605	1.318491578
291560000	4032.796875	1.270742416
291580000	4157.47168	1.292492867
291600000	4091.937012	1.277112484
291620000	4045.059326	1.300650597
291640000	4058.560791	1.318139434
291660000	4093.364014	1.26535356
291680000	3954.629395	1.30646503
291700000	4095.875	1.288628221
291720000	4125.682617	1.311963081
291740000	4030.27124	1.286509514
291760000	4176.87207	1.287413955
291780000	4027.368408	1.279633999
291800000	4003.084473	1.258356094
291820000	4083.219727	1.262810588
291840000	4041.302734	1.304882646
291860000	4126.950195	1.313764453
291880000	4096.258301	1.30329597
291900000	4100.525391	1.321267724
291920000	4008.30127	1.319145679
291940000	4152.283203	1.30056417
291960000	4017.394531	1.293234706
291980000	4067.717041	1.340744019
292000000	4034.329346	1.304403782
292020000	4024.219971	1.302079201
292040000	3973.365234	1.287747145
292060000	4062.813721	1.288629293
292080000	4219.402832	1.298324823
292100000	4238.771484	1.310996056
292120000	4142.541992	1.347806334
292140000	4101.788086	1.315103412
292160000	4072.450684	1.306396961
292180000	4110.260742	1.297264814
292200000	4010.806152	1.303162932
