timestep	potential_energy	temperature
100000000	3854.205078	1.29649055
100020000	3352.892822	1.07201159
100040000	3259.101074	1.037289143
100060000	3231.7229	1.054423928
100080000	3212.882324	0.9882329702
100100000	3104.167969	1.008413434
100120000	3057.007324	1.02296257
100140000	3143.282715	1.017183781
100160000	3092.70752	1.011272788
100180000	3030.172363	0.9846849442
100200000	3183.0625	0.9817634225
100220000	3134.142334	0.9767675996
100240000	3076.73584	1.000409722
100260000	3152.71875	1.0037117
100280000	3131.958252	1.00946486
100300000	3136.364746	0.9898962975
100320000	3152.101562	0.9653647542
100340000	3135.44873	1.002039552
100360000	3086.415771	0.9735536575
100380000	3135.630859	1.007775784
100400000	3148.249756	1.006124496
100420000	3165.030762	1.008303761
100440000	3057.296387	0.9716683626
100460000	3055.649414	0.9692173004
100480000	3099.520996	0.9669581056
100500000	3119.373047	0.9768772125
100520000	3109.761719	0.9857434034
100540000	3110.186523	1.008624911
100560000	3095.416992	1.007381439
100580000	3212.684082	0.9959380627
100600000	3118.722656	1.005422235
100620000	3085.678711	1.006652117
100640000	3097.831543	1.006498456
100660000	3157.618652	0.9946594238
100680000	3180.184082	0.9813866019
100700000	3105.487305	0.9971616864
100720000	3129.205078	0.9930044413
100740000	3095.752197	0.9939524531
100760000	3072.588867	1.003958225
100780000	3072.686523	0.9856791496
100800000	3174.182861	0.996401608
100820000	3094.341553	1.002402425
100840000	3190.994141	1.001411796
100860000	3231.206787	1.007201552
100880000	3100.196289	1.021103501
100900000	3228.025391	1.004996896
100920000	3206.347168	0.999155879
100940000	3204.842773	0.9901593924
100960000	2996.921387	0.987069428
100980000	2977.524902	0.9835577011
101000000	3052.181152	0.9950628877
101020000	3089.047852	0.9982034564
101040000	3089.24707	0.992248714
101060000	3109.087891	1.005443096
101080000	3076.31958	1.012499928
101100000	3241.430664	1.007459879
101120000	3164.303711	1.016798496
101140000	3175.925781	1.00467062
101160000	3033.157715	1.050544977
101180000	3069.145996	0.9867806435
101200000	3124.768066	0.9700102806
101220000	3108.462158	0.9733960032
101240000	3002.76416	0.9829242826
101260000	3027.215576	0.9663675427
101280000	3122.006592	0.9686207771
101300000	3084.618652	0.9644528031
101320000	3047.541016	0.9867148995
101340000	3057.524902	1.018303871
101360000	3143.418945	0.992690742
101380000	3094.102051	0.9675834775
101400000	3134.151855	0.9899799824
101420000	3066.072754	1.004906058
101440000	3041.74707	0.9872599244
101460000	3107.949707	0.9629112482
101480000	3097.553711	0.9988182187
101500000	3153.231445	1.004973173
101520000	3093.996826	0.9971980453
101540000	3057.336426	0.9891676903
101560000	3040.915527	0.964347899
101580000	3077.221191	1.010900617
101600000	3189.574951	1.013257027
101620000	3136.123535	0.9772145748
101640000	3161.296875	1.004630566
101660000	3190.355469	1.017272592
101680000	3112.45459	0.9907893538
101700000	3166.584229	1.000863194
101720000	3123.861816	0.9964794517
101740000	3022.466797	0.9818931222
101760000	2997.82373	1.012537837
101780000	3197.074463	0.9656243324
101800000	3075.509766	0.9785270095
101820000	3115.911621	0.9666119218
101840000	3116.499023	0.9617161751
101860000	3023.692871	1.004401326
101880000	3061.881348	0.9866420627
101900000	3051.719971	0.9879589677
101920000	3173.429199	1.000245094
101940000	3111.502686	1.007917881
101960000	3120.038574	0.9921923876
101980000	3027.284912	0.987866044
102000000	3111.235107	0.9835578203
102020000	3028.123535	0.9715205431
102040000	3084.008301	0.9982073903
102060000	3135.825928	0.9883841276
102080000	3149.061035	0.9676303864
102100000	3146.380615	0.9837707877
102120000	3131.8125	1.012467265
102140000	3113.020752	0.9907459617
102160000	3151.711426	0.9878285527
102180000	3051.575928	1.000005364
102200000	3080.937988	1.00328052
102220000	3044.105469	1.005280256
102240000	3166.664795	0.9783738256
102260000	3013.791504	0.9809743166
102280000	3063.491943	1.020986795
102300000	3151.810791	0.9930092692
102320000	3143.365234	0.977642417
102340000	3073.845703	0.9963858724
102360000	3227.586914	0.9590039849
102380000	3042.861572	0.9873011708
102400000	3075.888184	0.9820274115
102420000	2981.986816	0.9851441383
102440000	3073.005127	0.9742116928
102460000	3084.421875	0.9783015847
102480000	3066.956055	1.005016923
102500000	3113.121338	1.000842929
102520000	3044.51416	1.004953623
102540000	3170.265137	1.005344629
102560000	3244.799072	0.9922969937
102580000	3254.09375	0.9791728258
102600000	3139.303711	0.9961476922
102620000	3133.338623	0.9844480753
102640000	3239.470703	0.9720438719
102660000	3057.971191	1.007868409
102680000	3137.257324	0.9599063396
102700000	3068.998535	0.9891791344
102720000	2977.282715	0.972684145
102740000	3016.078125	0.9894391298
102760000	3129.275635	0.9857358932
102780000	3107.303955	1.015410781
102800000	3101.024902	1.020820737
102820000	3052.327148	1.009861231
102840000	3187.330078	1.023433805
102860000	3139.208984	1.001345634
102880000	3161.298828	1.007391334
102900000	3124.510254	0.9781672359
102920000	3029.584961	0.9919564128
102940000	3078.213135	1.012584686
102960000	3119.702637	0.9716905951
102980000	3029.843262	0.9649353623
103000000	3117.144775	1.00414896
103020000	3102.862305	0.9736602902
103040000	3102.318848	0.9713385105
103060000	3103.027344	0.9661693573
103080000	3102.299561	0.9862472415
103100000	3048.219727	0.9776390791
103120000	3102.744629	0.9851095676
103140000	3022.183594	0.9940314293
103160000	3045.868652	0.9914031625
103180000	3031.538086	0.9699294567
103200000	3120.36377	0.9619323611
103220000	3042.554443	0.9847162962
103240000	3083.739014	0.9829123616
103260000	3166.292969	0.9870417714
103280000	3118.651123	0.9763717651
103300000	3219.073242	0.976090014
103320000	3135.887695	1.004073501
103340000	3104.07251	0.991194129
103360000	3095.37793	0.9764422774
103380000	3158.982422	0.9769195914
103400000	3086.561523	0.9728998542
103420000	3145.637695	0.9629340172
103440000	3098.412109	0.9664742947
103460000	3084.888916	1.016512632
103480000	3065.432861	0.9711251259
103500000	3149.472656	1.004666328
103520000	3115.947754	1.016825914
103540000	3082.798828	0.9954798222
103560000	3168.934082	0.9551143646
103580000	3124.52832	0.9809496999
103600000	3083.563477	1.004294038
103620000	3222.752441	0.9746754766
103640000	3236.9021	0.996299088
103660000	3083.813965	0.9751506448
103680000	3086.748047	0.9307256937
103700000	3046.818115	1.003603935
103720000	3137.231689	1.011546373
103740000	3102.261719	0.9942416549
103760000	3029.234619	1.001107931
103780000	3188.065918	0.9741328955
103800000	3147.44873	1.004286051
103820000	3117.291504	0.9894866943
103840000	3064.411621	0.9779035449
103860000	3132.047852	0.9704193473
103880000	3012.490723	0.9949045181
103900000	3170.321289	1.005675912
103920000	3188.101074	0.9608744383
103940000	3095.883789	0.9838505387
103960000	3144.050781	0.976506114
103980000	3161.637695	0.9916071892
104000000	3124.158691	0.9610319734
104020000	3122.924805	0.9909609556
104040000	3106.670654	0.9652958512
104060000	3151.876953	1.006859183
104080000	3157.390625	1.013078809
104100000	3048.613281	0.9952279925
104120000	2991.283203	0.9674697518
104140000	3095.158447	0.9743253589
104160000	3005.301025	0.9814068079
104180000	3147.895508	0.9791154861
104200000	3190.03418	1.013685584
104220000	3073.776611	0.9864811301
104240000	3121.597168	0.97973454
104260000	3095.310059	1.015726566
104280000	3119.884521	0.9915989637
104300000	3058.541504	0.994866848
104320000	3120.21875	0.9957302809
104340000	3173.369629	0.9766896367
104360000	3107.622559	0.9913959503
104380000	3188.139648	0.9689955711
104400000	3088.719727	0.9834524989
104420000	3105.19458	0.9922334552
104440000	2984.927246	0.9946886301
104460000	3097.599121	0.9829759002
104480000	3073.516602	0.9718014598
104500000	3057.879395	0.9803491235
104520000	3084.214844	0.9754882455
104540000	3127.415527	0.98156178
104560000	3130.789307	0.9681045413
104580000	3143.430664	1.007509112
104600000	3192.690918	0.9943884015
104620000	3185.55127	1.007728934
104640000	3124.963867	0.9724081159
104660000	3121.728027	0.9583439827
104680000	3062.027344	0.9999872446
104700000	3050.544922	0.9690085649
104720000	3087.691406	0.9916777611
104740000	3152.59375	0.9854769707
104760000	3161.182129	0.9654462337
104780000	3087.148926	0.9855508804
104800000	3133.304199	0.9956765771
104820000	3155.289307	0.995939672
104840000	3146.513916	0.9644243717
104860000	3044.330322	1.00830996
104880000	3163.10791	0.991122663
104900000	3094.706543	0.9877371788
104920000	3077.887695	0.9889693856
104940000	3025.10498	0.9813398719
104960000	3089.174072	0.9744300246
104980000	3161.556396	0.9703022838
105000000	3066.516113	0.9829857945
105020000	3110.09082	0.9819148779
105040000	3029.865723	1.004774451
105060000	3142.573242	0.9778383374
105080000	3128.30957	0.9858173132
105100000	3055.153809	0.9840248823
105120000	3068.001221	0.9718345404
105140000	3100.320068	0.9912294745
105160000	3130.331055	0.9940441847
105180000	3226.677734	0.9817417264
105200000	3050.692871	1.002186298
105220000	3141.710449	0.9927431941
105240000	3171.44751	0.9915972352
105260000	3213.925293	1.020606518
105280000	3163.706543	1.006051779
105300000	3089.530762	0.9994263053
105320000	3043.803223	0.9891316891
105340000	3030.476562	0.9662570953
105360000	3094.532959	0.9981037974
105380000	3069.979248	0.9899325371
105400000	3101.050781	0.9886372685
105420000	3116.086914	0.9811812639
105440000	3099.34375	0.9822181463
105460000	3026.789307	0.9741469622
105480000	3215.970215	0.9701483846
105500000	3115.794678	0.9616995454
105520000	3058.872559	0.9979482293
105540000	3096.413574	0.9734191298
105560000	3117.214844	0.9789290428
105580000	2976.463379	0.9779443741
105600000	3208.589111	0.9752753973
105620000	3204.609375	0.9843569994
105640000	3145.715332	0.9930192828
105660000	2994.896484	1.002753377
105680000	3113.656738	0.9616144896
105700000	3151.54248	0.9750824571
105720000	3129.083008	0.9676060081
105740000	3128.97168	0.9948464036
105760000	3187.687744	0.9679291248
105780000	3182.353516	0.9573455453
105800000	3091.893311	0.9957994223
105820000	3172.100098	0.9952069521
105840000	3121.986816	0.9553952217
105860000	3167.999512	0.9863718748
105880000	3112.257324	0.9645004869
105900000	3119.979004	0.9947907329
105920000	3129.918457	1.004146814
105940000	3084.898926	0.9968031049
105960000	3058.833984	0.983941555
105980000	3064.005615	0.9752709866
106000000	3173.753418	0.9949858785
106020000	3228.358398	0.9907981753
106040000	3210.333984	1.032245755
106060000	3196.10498	0.9920207858
106080000	3232.680664	0.9938042164
106100000	3149.099121	0.9887374043
106120000	2985.794922	0.9756014943
106140000	3186.499512	0.9482449889
106160000	3105.09668	0.9706027508
106180000	3132.561523	0.994951427
106200000	3198.073975	0.9990605712
106220000	3268.110596	0.9827917218
106240000	3124.754395	1.007322192
106260000	3134.748047	1.018948793
106280000	3129.29126	0.9960150719
106300000	3097.024658	0.9950174093
106320000	3111.902588	0.9868599176
106340000	3019.049316	0.9847368002
106360000	3057.055176	1.011402845
106380000	3151.498047	0.987803638
106400000	3067.937012	0.992405355
106420000	3141.92041	0.988830328
106440000	3114.490723	1.014423609
106460000	3025.868408	0.9999614954
106480000	3147.994141	1.005427599
106500000	3058.219971	1.001143217
106520000	3074.396973	0.9937313199
106540000	3009.838623	1.003158569
106560000	3145.662598	0.948069334
106580000	3061.260742	0.9747232795
106600000	3090.181641	0.9828745127
106620000	3055.553223	0.9853836894
106640000	3051.612793	0.9866979718
106660000	3155.392334	0.9785187244
106680000	3092.370117	0.9866211414
106700000	3132.969727	0.9881638288
106720000	3082.770996	0.9962510467
106740000	3126.670898	1.025424838
106760000	3119.451172	0.9952399135
106780000	3172.407227	0.9772524834
106800000	3131.21582	0.9715592265
106820000	3142.802246	0.9959613681
106840000	3136.144531	0.9858682752
106860000	3111.443359	0.9921287894
106880000	3154.32251	0.9791244268
106900000	3073.637695	0.9980409741
106920000	3120.98584	0.9989765286
106940000	3117.531006	1.014609456
106960000	3110.141602	0.9876728654
106980000	3141.338379	0.9769154787
107000000	3024.533203	0.9894775152
107020000	3150.283691	0.9989814162
107040000	3139.466309	0.9864023328
107060000	3236.338623	0.9889364839
107080000	3114.526367	1.016380429
107100000	3120.276367	1.012739778
107120000	3109.570068	1.01119256
107140000	3091.48877	0.9810195565
107160000	3107.349121	0.9732380509
107180000	3094.095459	1.000599742
107200000	3136.365723	0.9946062565
107220000	3108.85498	0.991887629
107240000	3041.055176	0.9992192388
107260000	3152.962891	1.033014774
107280000	3126.324707	0.9984582067
107300000	3076.720947	1.003328085
107320000	3085.540039	1.007917166
107340000	3155.191895	0.991301775
107360000	3159.46167	1.002173781
107380000	3107.954102	0.9838814735
107400000	3062.724609	0.9957388639
107420000	3046.480225	0.9772142172
107440000	3137.535156	0.986771822
107460000	3035.663086	0.9951243401
107480000	3239.143799	0.9918525815
107500000	3132.719727	0.9765289426
107520000	3136.581299	1.018299699
107540000	3126.736328	0.9897552729
107560000	3087.502441	0.9768295288
107580000	3152.784668	0.9864615202
107600000	3179.448242	0.9993674159
107620000	3072.643555	0.9675427079
107640000	3159.186523	0.9814195633
107660000	3065.329834	0.9896311164
107680000	3117.79834	1.007274985
107700000	3057.719238	0.9920277596
107720000	3041.217285	1.016118765
107740000	3098.204834	1.03380239
107760000	3154.922852	1.005844474
107780000	3083.067871	0.9977691174
107800000	3126.779053	0.9813055396
107820000	3052.602295	0.9713817835
107840000	3175.344482	0.9628357291
107860000	3070.250977	0.9551414251
107880000	3183.671387	0.9634692669
107900000	3087.007812	0.9824674726
107920000	3109.438477	0.9955733418
107940000	3095.092041	1.002193689
107960000	3163.351562	1.021223068
107980000	3155.515137	0.9724532366
108000000	3231.180176	0.9827369452
108020000	3081.277832	0.9972061515
108040000	3205.476318	0.9900020957
108060000	3092.476074	0.9862424731
108080000	3122.812988	0.9767338634
108100000	3054.079102	1.006762624
108120000	3177.754883	0.9993222356
108140000	3108.280762	1.004110336
108160000	3180.30249	0.9754902124
