timestep	potential_energy	temperature
90000000	3063.246582	0.9957095385
90020000	3676.403809	1.195481181
90040000	3886.59082	1.251977563
90060000	3873.888672	1.293491483
90080000	4034.231689	1.269456625
90100000	4027.664062	1.25895381
90120000	3930.226807	1.289415598
90140000	3966.991943	1.262752891
90160000	3958.898438	1.247159481
90180000	3991.615723	1.30487144
90200000	3902.523926	1.294972181
90220000	4052.88623	1.292805195
90240000	3946.983887	1.315224409
90260000	4021.52002	1.286183238
90280000	3996.469482	1.297012329
90300000	4039.572754	1.30356431
90320000	4045.424316	1.287627459
90340000	4091.060303	1.287084699
90360000	4136.615234	1.300640941
90380000	4093.367676	1.335489511
90400000	3981.43335	1.296363235
90420000	3942.371582	1.316012144
90440000	4012.425049	1.320708156
90460000	3987.505859	1.309426427
90480000	3977.672852	1.308199525
90500000	4095.061768	1.27719748
90520000	4045.35791	1.304395795
90540000	4042.976074	1.273399949
90560000	3997.541992	1.286797047
90580000	3955.442383	1.279311895
90600000	3990.609863	1.274302244
90620000	3896.467041	1.316378832
90640000	3824.130859	1.289234281
90660000	4071.374023	1.27844727
90680000	3915.541504	1.298221827
90700000	3870.200684	1.28184402
90720000	4085.431152	1.275931478
90740000	3989.634033	1.314716697
90760000	4059.083496	1.323099256
90780000	3948.297852	1.300489664
90800000	3914.77124	1.266081929
90820000	3994.728027	1.301697373
90840000	3938.276123	1.316513419
90860000	3974.044434	1.304149628
90880000	4080.965332	1.290219307
90900000	4010.647461	1.292739749
90920000	4026.514893	1.28827107
90940000	3900.328613	1.303311586
90960000	3941.275146	1.29750073
90980000	3997.422119	1.287467599
91000000	3897.220215	1.318079591
91020000	3984.722168	1.309221625
91040000	4110.55127	1.315453053
91060000	3875.466309	1.297645807
91080000	4046.7146	1.316336632
91100000	4083.312988	1.291973114
91120000	4062.132324	1.314258337
91140000	3953.321777	1.281812429
91160000	4032.493652	1.315036178
91180000	3882.195312	1.31479764
91200000	3990.287842	1.30702281
91220000	3982.856445	1.263284564
91240000	4059.339355	1.284547091
91260000	3948.134277	1.290420055
91280000	3948.83374	1.272448182
91300000	3997.210938	1.280882478
91320000	3988.20459	1.29726553
91340000	3953.484863	1.317453146
91360000	3971.610352	1.303868651
91380000	3946.273438	1.291948318
91400000	4001.351562	1.293955803
91420000	3868.661133	1.281248331
91440000	3976.362549	1.297176361
91460000	3975.868164	1.305760264
91480000	3946.748047	1.348249078
91500000	4031.959961	1.305922508
91520000	4035.15332	1.269707322
91540000	4035.204346	1.301442027
91560000	3960.986816	1.320488572
91580000	4038.240234	1.272383213
91600000	3978.35376	1.299770713
91620000	4042.942383	1.335216284
91640000	4126.13623	1.327959538
91660000	3978.16333	1.302703857
91680000	4046.932373	1.272108197
91700000	4115.375488	1.306454301
91720000	3940.690918	1.323696971
91740000	4052.167725	1.307359457
91760000	4015.729248	1.301130176
91780000	3993.027832	1.320617795
91800000	4211.932617	1.288279891
91820000	4071.914307	1.333838105
91840000	3998.886963	1.299205661
91860000	4025.864746	1.264293075
91880000	4005.841309	1.288628578
