timestep	potential_energy	temperature
150000000	3092.036377	0.9890496731
150020000	3779.427246	1.201647639
150040000	4028.34082	1.293680072
150060000	3930.111084	1.257727742
150080000	3947.705566	1.273277283
150100000	3991.687988	1.292805791
150120000	4044.514404	1.306931376
150140000	3995.741455	1.296618581
150160000	3971.373535	1.300379157
150180000	4006.925781	1.295459747
150200000	4125.733887	1.322632551
150220000	4111.709961	1.298163176
150240000	3997.003174	1.270302057
150260000	4050.256348	1.293111444
150280000	4030.010254	1.255436659
150300000	4037.541748	1.303276062
150320000	4147.188477	1.271603942
150340000	4122.330566	1.305728078
150360000	4045.302979	1.255922675
150380000	4062.477051	1.334106207
150400000	4033.394287	1.339965105
150420000	4097.955566	1.285194755
150440000	4039.05249	1.283666015
150460000	4088.057617	1.275421262
150480000	3979.45752	1.319505095
150500000	4161.291016	1.320142388
150520000	3954.15918	1.296719074
150540000	4190.137695	1.29790163
150560000	4130.355469	1.291461587
150580000	4186.083496	1.29807663
150600000	4093.843018	1.320521474
150620000	4110.010742	1.276564598
150640000	4026.581299	1.287523746
150660000	4037.880615	1.310801864
150680000	4084.616211	1.322796941
150700000	4014.037842	1.312526703
150720000	4000.812256	1.325275421
150740000	4053.281494	1.291406751
150760000	4027.98877	1.288935065
150780000	4120.301758	1.301809669
150800000	4074.739746	1.347713113
150820000	4039.311523	1.305197477
150840000	4107.713379	1.27863431
150860000	3985.224854	1.314756393
150880000	4109.141113	1.33718276
150900000	4060.7854	1.29736805
150920000	4007.283691	1.303461313
150940000	3956.214844	1.281154871
150960000	4026.654297	1.324705005
150980000	3973.640137	1.309467554
151000000	3955.626709	1.294009447
151020000	3933.998291	1.305464745
151040000	4024.093262	1.298761487
151060000	3990.628906	1.328261256
151080000	4021.706543	1.289827466
151100000	4132.633301	1.298277736
151120000	3953.225342	1.322961569
151140000	4090.663086	1.325945377
151160000	4176.981445	1.31966567
151180000	4098.016602	1.317590714
151200000	4004.524414	1.322220564
151220000	4137.196289	1.304295778
151240000	4144.907227	1.281634212
151260000	4058.52832	1.302197337
151280000	4016.117676	1.30074811
151300000	4151.527344	1.291562796
151320000	4090.271729	1.306117654
151340000	4050.488037	1.315792441
151360000	4052.203125	1.319149971
151380000	4067.803223	1.313037395
151400000	4057.134766	1.301921248
151420000	4041.04126	1.275846004
151440000	4006.851562	1.312211871
151460000	3902.117432	1.320152402
151480000	4038.381592	1.294310331
151500000	4106.074219	1.333119869
151520000	4095.47876	1.300736666
151540000	4055.791504	1.326994538
151560000	4067.75708	1.330021739
151580000	4058.069336	1.315226197
151600000	3965.572266	1.333836913
151620000	4083.611572	1.31227839
151640000	4038.233154	1.308906078
151660000	4051.242188	1.326114058
151680000	4115.774414	1.303557277
151700000	3990.464355	1.335301042
151720000	4056.566162	1.330701828
151740000	3923.668213	1.328156948
151760000	4027.750244	1.321086049
151780000	4003.077148	1.295377731
151800000	3955.157959	1.281722784
151820000	4124.62793	1.273833036
151840000	4013.472656	1.312715054
151860000	4081.781982	1.283493876
151880000	4167.392578	1.284931421
151900000	4095.520996	1.32126224
151920000	3953.463867	1.31707859
151940000	4034.138672	1.310001731
151960000	4233.000977	1.28138113
151980000	4010.876953	1.302983165
152000000	4033.414307	1.308013797
152020000	3993.070557	1.286264062
152040000	3919.353516	1.288776875
152060000	4013.138672	1.297980309
152080000	4109.655273	1.2530514
152100000	3952.163574	1.325916171
152120000	4018.710449	1.298945069
152140000	4063.041504	1.290958047
152160000	3978.08374	1.31804502
152180000	4056.99292	1.285335183
152200000	4059.910889	1.306829929
152220000	4103.40625	1.321088314
152240000	4088.279053	1.271058202
152260000	4090.659668	1.310876608
152280000	4062.103027	1.288638115
152300000	4136.654297	1.307800055
152320000	4129.646484	1.294852614
152340000	4077.260254	1.305407763
152360000	4151.541016	1.328723073
152380000	4034.172119	1.293316841
152400000	4096.135742	1.294185042
152420000	3979.715332	1.261132717
152440000	3988.792969	1.278272986
152460000	3996.347168	1.290876389
152480000	4018.037598	1.283658743
152500000	3950.835938	1.294089198
152520000	3993.498535	1.297650695
152540000	4000.041992	1.25795722
152560000	4093.799805	1.281368852
152580000	4024.55835	1.304493546
152600000	4044.703369	1.27829659
152620000	4031.59668	1.277402401
152640000	4060.945312	1.265441895
152660000	3926.920166	1.31216836
152680000	3948.442139	1.282920957
152700000	3986.412109	1.300745964
152720000	4001.916504	1.309711218
152740000	4050.206299	1.298175216
152760000	4011.344238	1.339313149
152780000	4173.613281	1.314579368
152800000	3978.83252	1.317634583
152820000	4059.473633	1.285232663
152840000	4135.732422	1.306234479
152860000	4049.58252	1.350277424
152880000	4081.455566	1.336383939
152900000	4125.458496	1.300011992
152920000	4076.064453	1.298931956
152940000	4020.156738	1.275127649
152960000	4095.346191	1.29570961
152980000	4095.450684	1.295499802
153000000	3956.791504	1.326533318
153020000	4066.175293	1.279516578
153040000	4106.523438	1.275192857
153060000	4054.681152	1.308726907
153080000	4037.260254	1.294532061
153100000	4016.672852	1.299981713
153120000	4003.468262	1.313020825
153140000	3970.868896	1.32170701
153160000	4087.19043	1.295042753
153180000	3963.601074	1.329328656
153200000	4056.29248	1.282602787
153220000	4099.988281	1.308925986
153240000	4184.325195	1.271019697
153260000	3975.398193	1.342532277
153280000	4049.740234	1.300406098
153300000	3922.859619	1.29630959
153320000	4073.343018	1.313952923
153340000	4021.053955	1.287265062
153360000	4008.202881	1.270498037
153380000	4117.538086	1.273412228
153400000	3990.129883	1.309435964
153420000	4037.708496	1.328099966
153440000	4046.152832	1.365900993
153460000	4111.20752	1.279144406
153480000	3960.207031	1.313345075
153500000	4001.661865	1.313698769
153520000	3940.766602	1.256797552
153540000	4060.423096	1.263981581
153560000	4010.428711	1.298915267
153580000	4121.867188	1.268731236
153600000	3997.443848	1.305422783
153620000	4030.5625	1.297366619
153640000	4103.982422	1.294315577
153660000	3974.691895	1.308527589
153680000	3892.942871	1.321389318
153700000	4111.67041	1.259802699
153720000	4123.308105	1.317347288
153740000	3918.570312	1.323024988
153760000	4038.777588	1.31647861
153780000	4029.36792	1.324647427
153800000	4022.44458	1.319464564
153820000	4071.622803	1.3537817
153840000	4117.442871	1.30381608
153860000	4072.857422	1.303726554
153880000	4074.19751	1.293520689
153900000	4073.251953	1.3209306
153920000	4051.583252	1.274775505
153940000	4083.110352	1.280349016
153960000	4111.200195	1.250973105
153980000	3998.41333	1.283902764
154000000	4072.435059	1.284479499
154020000	4081.433105	1.30420661
154040000	4015.372314	1.34386003
154060000	4016.891602	1.288975239
154080000	4103.979004	1.298341632
154100000	4058.823486	1.318140984
154120000	3928.000488	1.293130398
154140000	3931.293701	1.332456708
154160000	4102.560547	1.265186191
154180000	4095.197266	1.288979292
154200000	4084.109863	1.301194668
154220000	4090.011719	1.329753399
154240000	3975.500977	1.257831931
154260000	3966.353516	1.298264384
154280000	4130.0625	1.320867181
154300000	4059.88916	1.312671185
154320000	4124.765625	1.28233099
154340000	4139.703125	1.317476034
154360000	3947.196533	1.325044394
154380000	4173.295898	1.320747852
154400000	4183.424805	1.326195717
154420000	3978.621826	1.315437078
154440000	4013.532227	1.272724152
154460000	4012.73291	1.272010803
154480000	4102.29541	1.279960394
154500000	4094.750732	1.289245605
154520000	4089.378662	1.30610311
154540000	4053.157227	1.306557298
154560000	4078.620117	1.336740613
154580000	4137.408203	1.290489554
154600000	4128.776367	1.282964945
154620000	4140.283203	1.272751212
154640000	4003.733643	1.318814993
154660000	4085.930176	1.299041033
154680000	4063.80249	1.309068441
154700000	4123.661133	1.295742512
154720000	4093.334961	1.29184854
154740000	3939.750732	1.327143431
154760000	4043.452148	1.291576505
154780000	4069.257324	1.267546296
154800000	3975.214844	1.299941063
154820000	4079.315674	1.307563066
154840000	4074.67334	1.299380779
154860000	3862.433105	1.31193018
154880000	3891.518066	1.277573347
154900000	4102.285156	1.314142346
154920000	4118.412598	1.292421818
154940000	4081.506104	1.271898508
154960000	3930.679443	1.307431698
154980000	3990.96582	1.331561446
155000000	4094.714111	1.286766887
155020000	4001.273438	1.320852399
155040000	4000.748535	1.284707665
155060000	4066.2771	1.31621933
155080000	4065.856934	1.315193057
155100000	4049.70166	1.307683349
155120000	4083.244385	1.321427703
155140000	4086.29248	1.289279342
155160000	4094.822266	1.258397579
155180000	4050.65918	1.257815003
155200000	3874.478027	1.330495596
155220000	4043.763672	1.304762244
155240000	3892.327148	1.329014301
155260000	3981.851807	1.32811141
155280000	4175.814941	1.332750201
155300000	4072.036621	1.2876333
155320000	3995.871826	1.308744073
155340000	4099.037598	1.284238219
155360000	4114.067383	1.334130049
155380000	4100	1.265805244
155400000	4017.54541	1.297158241
155420000	3992.354492	1.284622073
155440000	3954.218262	1.267029405
155460000	4025.606445	1.273045897
155480000	3962.302734	1.285911441
155500000	3926.49292	1.260827661
155520000	3999.521973	1.287954807
155540000	4131.051758	1.256901026
155560000	3977.468262	1.313048482
155580000	3959.637207	1.313922167
155600000	4070.097168	1.287072897
155620000	3991.685547	1.296296477
155640000	4024.298828	1.292714477
155660000	4093.559326	1.293907285
155680000	4222.570312	1.305391192
155700000	4090.35376	1.278753519
155720000	3940.058594	1.317659855
155740000	4055.394043	1.297078729
155760000	3941.999512	1.291811943
155780000	4105.278809	1.305549622
155800000	3876.499512	1.320440769
155820000	3982.095459	1.307954311
155840000	3970.660889	1.275991797
155860000	4026.596924	1.299565673
155880000	4020.514648	1.282907844
155900000	3840.57666	1.31961298
155920000	4059.482666	1.301300049
155940000	4198.814453	1.309903622
155960000	4076.579346	1.314199924
155980000	4077.043457	1.297951818
156000000	4069.71167	1.338212252
156020000	4006.959473	1.315628886
156040000	4064.678223	1.303370833
156060000	4024.352295	1.287683249
156080000	3946.57251	1.30067122
156100000	4088.490723	1.297987103
156120000	3993.656494	1.280578256
156140000	3938.23877	1.298686266
156160000	4033.702148	1.262218952
156180000	3987.311279	1.312137842
156200000	3908.233154	1.287682891
156220000	4044.634521	1.290905356
156240000	4165.768066	1.267820954
156260000	4126.71875	1.302225113
156280000	4100.942871	1.287500978
156300000	4181.314941	1.301868916
156320000	4128.865234	1.294273615
156340000	4040.525391	1.294138789
156360000	4178.359375	1.289316535
156380000	3990.371094	1.303743243
156400000	4136.067871	1.298778415
156420000	3977.80249	1.312280774
156440000	4031.647949	1.306039691
156460000	4068.0271	1.288164854
156480000	4093.603271	1.280035853
156500000	4022.460449	1.331649303
156520000	4118.768555	1.285573125
156540000	4026.981201	1.302820206
156560000	4065.280273	1.325209379
156580000	4032.958008	1.304678202
156600000	4040.360352	1.324146152
156620000	3974.212646	1.296010971
156640000	4074.879883	1.277696252
156660000	4168.64502	1.310066342
156680000	4058	1.30029583
156700000	3982.018066	1.312514186
156720000	4008.426758	1.298293591
156740000	4094.22168	1.296015263
156760000	4086.383301	1.322686315
156780000	4034.620117	1.286029935
156800000	4131.28418	1.326452374
156820000	4038.44458	1.306355476
156840000	4093.233643	1.313736439
156860000	4179.306152	1.303882837
156880000	4109.40332	1.29834044
156900000	4101.795898	1.319431186
156920000	3973.990723	1.323196411
156940000	4080.304199	1.313776135
156960000	4000.623047	1.345122337
156980000	4020.367676	1.289854884
157000000	3941.725342	1.293412566
157020000	4000.679443	1.314057708
157040000	3996.423828	1.288704515
157060000	3973.260742	1.319121003
157080000	3999.091797	1.30203259
157100000	4030.35791	1.308691025
157120000	4169.299805	1.329608321
157140000	3927.556885	1.297209144
157160000	3907.053711	1.348656893
157180000	4052.813477	1.328422904
157200000	4238.952148	1.290483594
157220000	4100.642578	1.33710289
157240000	4063.274658	1.316738963
157260000	4116.038574	1.286789656
157280000	4111.645508	1.301575661
157300000	4236.956055	1.290375471
157320000	4040.086914	1.328594089
157340000	4124.344727	1.310171008
157360000	4139.737305	1.320439816
157380000	3981.149658	1.315758109
157400000	4103.406738	1.308396101
157420000	4146.54834	1.308288693
157440000	4018.06543	1.30645597
157460000	3933.44751	1.286569595
157480000	4046.682861	1.280493617
157500000	4060.514648	1.27339077
157520000	4009.314697	1.279168367
157540000	3942.430176	1.29197824
157560000	3984.153076	1.313829541
157580000	3964.995605	1.301359177
157600000	4101.144043	1.287260413
157620000	4051.909912	1.290362477
157640000	4095.468018	1.322508931
157660000	4182.316406	1.331738949
157680000	4106.662109	1.298379302
157700000	4094.426758	1.245281696
157720000	3984.572998	1.272757411
157740000	4011.396973	1.274217367
157760000	4193.020508	1.306382656
157780000	4047.284668	1.304955363
157800000	4059.114502	1.277258992
157820000	4107.068359	1.293115377
157840000	3942.715088	1.3000741
157860000	4179.458008	1.29271996
157880000	3986.322266	1.286436081
157900000	3905.169922	1.300829291
157920000	4069.965332	1.283999085
157940000	4045.988037	1.3442173
157960000	4104.450195	1.275916576
157980000	4201.841797	1.308464408
158000000	4066.87085	1.289713144
158020000	3968.84082	1.286971092
158040000	4053.375488	1.31524241
158060000	4097.543945	1.305295229
158080000	3962.186523	1.291887522
158100000	4107.929688	1.284676194
158120000	4031.644531	1.271759987
158140000	3985.26709	1.311532259
158160000	4011.766602	1.272658944
158180000	4039.78418	1.337470055
158200000	4056.161621	1.273659468
158220000	4004.920654	1.313706756
158240000	4101.214844	1.284318209
158260000	4109.670898	1.289676905
158280000	4089.638428	1.319523811
158300000	4237.304199	1.338381171
158320000	3948.236328	1.334048748
158340000	4163.359863	1.287974119
158360000	4074.595947	1.289446473
158380000	4021.495605	1.298456669
158400000	3945.362793	1.333680868
158420000	4046.771484	1.307121992
158440000	4016.371094	1.289384723
158460000	4185.481934	1.317605257
158480000	3996.313965	1.320874691
158500000	4020.335449	1.284883499
158520000	4024.568359	1.311382532
158540000	4080.216797	1.295049906
158560000	3998.804688	1.298573017
158580000	4087.88916	1.265212655
158600000	4030.907959	1.341320753
158620000	4167.474609	1.264525652
158640000	4100.562988	1.308655977
158660000	4088.753662	1.33831656
158680000	4080.938477	1.332714796
158700000	4103.926758	1.332475781
158720000	3967.7146	1.279047012
158740000	4052.278076	1.261058211
158760000	3935.97998	1.285922766
158780000	3984.281982	1.307794452
158800000	4089.418457	1.308494806
158820000	4054.717285	1.258632779
158840000	4111.394043	1.293910623
158860000	3946.401367	1.282400131
158880000	4107.604492	1.283028722
158900000	4064.907959	1.272752404
158920000	4032.382568	1.301902771
158940000	3987.600342	1.317168713
158960000	3941.936768	1.273814797
158980000	3887.433838	1.313034058
159000000	3900.864502	1.311023712
159020000	4113.475098	1.309116244
159040000	4037.89917	1.293992519
159060000	3985.285889	1.303413272
159080000	4069.399414	1.30272603
159100000	4128.197266	1.295818806
159120000	4132.462891	1.304106712
159140000	4043.799805	1.283546448
159160000	3904.2229	1.270196438
159180000	4021.908691	1.279879928
159200000	3948.215332	1.301847577
159220000	3962.175781	1.32282877
159240000	3954.831055	1.297189236
159260000	4047.717285	1.312201977
159280000	4155.176758	1.3061409
159300000	3948.462891	1.29598403
159320000	4045.060547	1.315777421
159340000	4031.692383	1.273926735
159360000	3894.189453	1.297968268
159380000	4096.510742	1.288707495
159400000	4069.962402	1.277872324
159420000	4044.793945	1.317837596
159440000	3948.201904	1.297758222
159460000	3997.067139	1.323213577
159480000	4037.103271	1.304989219
159500000	4074.378174	1.295999765
159520000	4117.317871	1.305957675
159540000	4046.34375	1.280308723
159560000	3896.961426	1.270079494
159580000	3960.875977	1.289653897
159600000	4047.449219	1.269658804
159620000	3959.349854	1.285539627
159640000	4038.30127	1.250770926
159660000	4074.293213	1.288418889
159680000	4010.464355	1.2939533
159700000	4021.85791	1.31073451
159720000	4109.061523	1.302594423
159740000	4004.73877	1.293205619
159760000	3927.846191	1.255298376
159780000	3915.547607	1.294260144
159800000	4008.833252	1.269070625
159820000	3982.168945	1.297221184
159840000	3961.797363	1.289456725
159860000	4009.720703	1.263488054
159880000	3948.493652	1.306410432
159900000	4017.117432	1.276168942
159920000	3990.821289	1.320226669
159940000	4087.52002	1.305668235
159960000	4100.523438	1.298798203
159980000	4177.101074	1.280627728
160000000	4141.667969	1.362599373
