timestep	potential_energy	temperature
190000000	3090.954102	1.013010859
190020000	3847.762939	1.198730826
190040000	3983.926758	1.28834343
190060000	4087.786133	1.288658261
190080000	3972.331543	1.263128996
190100000	3994.878418	1.318735719
190120000	3957.828369	1.304310918
190140000	4048.577637	1.322353601
190160000	4122.682617	1.314534068
190180000	4127.014648	1.331888556
190200000	3998.140625	1.342340827
190220000	4060.180664	1.319757104
190240000	3969.361816	1.305700183
190260000	3864.506348	1.292041302
190280000	3980.395508	1.302956343
190300000	3919.679688	1.301102877
190320000	3976.556152	1.318144202
190340000	4165.03125	1.33786273
190360000	4089.794922	1.284434915
190380000	3981.835449	1.302749872
190400000	4049.177979	1.281828523
190420000	3996.464844	1.290248275
190440000	3945.889648	1.246927857
190460000	3897.833984	1.284350991
190480000	4075.712646	1.324430346
190500000	4214.062012	1.294135571
190520000	4028.816406	1.287189245
190540000	4053.861572	1.251865149
190560000	3972.248535	1.306370854
190580000	4012.849854	1.285556197
190600000	4111.467773	1.322126627
190620000	3888.861328	1.289116383
190640000	3929.615234	1.296097279
190660000	4123.717285	1.303149462
190680000	4091.595947	1.301722765
190700000	4121.626953	1.294661164
190720000	4043.015381	1.313322067
190740000	4023.041504	1.335787654
190760000	4043.491943	1.332762599
190780000	4111.112793	1.287718654
190800000	4195.974609	1.33468771
190820000	3986.489258	1.303091049
190840000	3985.371582	1.267255783
190860000	4073.268066	1.313491821
190880000	4036.183594	1.309267879
190900000	3983.30249	1.315547824
190920000	4026.565186	1.301812768
190940000	4063.458496	1.332337976
190960000	4159.581055	1.288093686
190980000	4029.601562	1.297431588
191000000	3974.186523	1.335287333
191020000	4067.638184	1.299431443
191040000	4039.697998	1.302679777
191060000	4005.138184	1.277182937
191080000	4004.768066	1.276972175
191100000	4083.654541	1.348906636
191120000	4169.125	1.274342656
191140000	4032.931641	1.305040717
191160000	4116.114258	1.291751146
191180000	4160.4375	1.275733352
191200000	4039.66748	1.328609943
191220000	4043.099121	1.311875105
191240000	3987.980469	1.299163342
191260000	4000.361816	1.296644568
191280000	4036.138428	1.280244827
191300000	4025.711426	1.311252236
191320000	4099.51123	1.327270985
191340000	4096.01709	1.313954949
191360000	4121.494629	1.319862247
191380000	4162.641602	1.259365082
191400000	3995.334473	1.297433257
191420000	3954.194336	1.319262981
191440000	4051.609131	1.329555869
191460000	4096.514648	1.276455164
191480000	4214.496094	1.261563063
191500000	4086.568848	1.310431838
191520000	4032.713379	1.336128831
191540000	4098.479004	1.319393754
191560000	4160.036621	1.311520815
191580000	4165.995605	1.330122948
191600000	4055.12793	1.309028506
191620000	4017.667236	1.28593421
191640000	4076.649902	1.285749555
191660000	4171.576172	1.311365485
191680000	4093.816406	1.314125538
191700000	4092.399902	1.306235313
191720000	4186.658691	1.320302486
191740000	4050.362305	1.32452476
191760000	4039.408203	1.326206923
191780000	4033.46875	1.281229973
191800000	3993.088379	1.278609633
191820000	4074.612549	1.317317605
191840000	3976.055908	1.322698474
191860000	3904.169434	1.297554374
191880000	4113.99707	1.283934474
191900000	4047.992432	1.310431123
191920000	3910.834961	1.289342761
191940000	3958.044922	1.29100585
191960000	4037.830078	1.284916282
191980000	4035.987549	1.311549425
192000000	4118.210449	1.275610328
192020000	3963.556641	1.275223136
192040000	4192.331055	1.269698381
192060000	4097.823242	1.292447448
192080000	4117.22168	1.342377067
192100000	4055.860352	1.3204844
192120000	4047.534668	1.30718565
192140000	3980.694824	1.259705305
192160000	4054.437988	1.334536552
192180000	4163.68457	1.310104847
192200000	3928.294434	1.278239608
192220000	4098.259766	1.301554322
