timestep	potential_energy	temperature
170000000	3198.43335	1.013107657
170020000	3758.331787	1.211268306
170040000	3976.166016	1.295400739
170060000	4147.182129	1.290752888
170080000	4191.091797	1.339443445
170100000	4079.14624	1.327361345
170120000	4077.328125	1.297887921
170140000	3808.855469	1.307231784
170160000	4054.564941	1.315407872
170180000	4066.55957	1.28892076
170200000	4079.024414	1.295526028
170220000	4126.241211	1.292154789
170240000	4077.851562	1.291705012
170260000	4046.568359	1.307195187
170280000	4008.668213	1.283966899
170300000	4034.114258	1.256473303
170320000	4097.381348	1.278948545
170340000	3984.31665	1.299357414
170360000	4080.120117	1.289744973
170380000	4022.217773	1.29879272
170400000	4022.323975	1.306681156
170420000	4229.030273	1.302828312
170440000	4049.149658	1.312408328
170460000	3973.557373	1.297188878
170480000	3992.162598	1.302697778
170500000	4097.558105	1.290582418
170520000	3987.653076	1.285902143
170540000	4126.457031	1.299244881
170560000	4019.62915	1.335333943
170580000	4069.384277	1.306088448
170600000	4139.397461	1.265392303
170620000	3947.537109	1.307496548
170640000	4170.566406	1.301931977
170660000	4045.181641	1.310733318
170680000	3924.803223	1.308827162
170700000	4059.943359	1.282762527
170720000	4055.549316	1.306087971
170740000	3992.574707	1.285939932
170760000	3973.934082	1.301268935
170780000	4145.978516	1.345825434
170800000	4113.856445	1.315079927
170820000	4013.637695	1.310268044
170840000	4086.374756	1.275633097
170860000	4096.919922	1.315104365
170880000	3961.007324	1.298052192
170900000	3944.633545	1.29558754
170920000	4020.864746	1.286771536
170940000	4025.056152	1.303517938
170960000	4184.072266	1.292941689
170980000	4100.512207	1.320615053
171000000	4105.366211	1.328529
171020000	4070.737305	1.303986549
171040000	3996.657227	1.279312372
171060000	4068.882812	1.272176623
171080000	4144.032227	1.301753163
171100000	4104.012695	1.279197574
171120000	3984.102051	1.2954247
171140000	4020.714355	1.331129432
171160000	4099.969238	1.326810598
171180000	4155.874023	1.369863629
171200000	4097.703125	1.312251449
171220000	4083.777832	1.312869191
171240000	3975.137695	1.310989738
171260000	3966.193359	1.281329751
171280000	4107.287109	1.32734549
171300000	4121.283691	1.317232251
171320000	4138.605469	1.302187085
171340000	4010.513428	1.315059066
171360000	4092.066162	1.314169288
171380000	4094.020752	1.300410748
171400000	3917.665039	1.302729726
171420000	4090.830322	1.306566834
171440000	4051.296387	1.318421721
171460000	3952.625977	1.282748103
171480000	4053.34668	1.303863406
171500000	4145.841797	1.27974391
171520000	4126.606934	1.255392075
171540000	3982.594482	1.273974419
171560000	4203.141602	1.285606861
171580000	4117.650391	1.299787521
171600000	4008.055176	1.329225659
171620000	3901.987305	1.302312374
171640000	3949.737793	1.334822536
171660000	4064.05127	1.315066695
171680000	3991.534912	1.344396353
171700000	4086.028809	1.333845854
171720000	4096.410156	1.321383715
171740000	4052.788574	1.30962491
171760000	4104.269531	1.30515945
171780000	4156.583008	1.298307061
171800000	3988.258789	1.300907731
171820000	4046.704834	1.318476677
171840000	3993.778809	1.362565279
171860000	4197.087891	1.309083462
171880000	4108.572754	1.341195345
171900000	4060.817139	1.322552443
171920000	4080.781738	1.320426106
171940000	4040.378662	1.313442469
171960000	4159.358398	1.345291257
171980000	4063.046143	1.314236403
172000000	4046.449463	1.295057774
172020000	4016.519287	1.295289159
172040000	3921.531738	1.307673812
172060000	4019.872314	1.294804215
172080000	4019.98291	1.285064578
