# Time     Valence0    Valence1     Valence2     Valence3     Valence4     Valence5     Valence6
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+02 9.925925925925925819e-01 7.407407407407407690e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+02 9.901234567901234795e-01 9.876543209876543009e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+02 9.827160493827160614e-01 1.728395061728394896e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+02 9.802469135802469591e-01 1.975308641975308602e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+02 9.728395061728395410e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+02 9.543209876543209402e-01 4.444444444444444614e-02 1.234567901234567876e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+02 9.296296296296295836e-01 6.913580246913579586e-02 1.234567901234567876e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+02 9.197530864197530631e-01 7.654320987654321395e-02 3.703703703703703845e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+03 9.012345679012345734e-01 9.382716049382716639e-02 4.938271604938271504e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+03 8.864197530864197372e-01 1.086419753086419748e-01 4.938271604938271504e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+03 8.716049382716049010e-01 1.209876543209876532e-01 7.407407407407407690e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+03 8.604938271604938294e-01 1.308641975308642014e-01 8.641975308641974482e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+03 8.506172839506173089e-01 1.407407407407407496e-01 8.641975308641974482e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+03 8.308641975308641570e-01 1.580246913580246881e-01 1.111111111111111154e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 8.234567901234567389e-01 1.654320987654321062e-01 1.111111111111111154e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 8.172839506172839830e-01 1.703703703703703665e-01 1.234567901234567833e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+03 8.098765432098765649e-01 1.777777777777777846e-01 1.234567901234567833e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+03 7.938271604938271775e-01 1.925925925925925930e-01 1.358024691358024685e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+03 7.802469135802468925e-01 2.049382716049382713e-01 1.481481481481481538e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+03 7.679012345679012697e-01 2.148148148148148195e-01 1.728395061728394896e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+03 7.641975308641975051e-01 2.172839506172839497e-01 1.851851851851851749e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+03 7.506172839506173311e-01 2.283950617283950490e-01 1.975308641975308602e-02 1.234567901234567876e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+03 7.444444444444444642e-01 2.333333333333333370e-01 2.098765432098765454e-02 1.234567901234567876e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+03 7.358024691358024949e-01 2.419753086419753063e-01 1.975308641975308602e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+03 7.283950617283950768e-01 2.493827160493827244e-01 1.975308641975308602e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+03 7.172839506172840052e-01 2.592592592592592449e-01 2.098765432098765454e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+03 7.135802469135802406e-01 2.592592592592592449e-01 2.469135802469135665e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+03 6.938271604938271997e-01 2.765432098765431834e-01 2.716049382716049371e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+03 6.876543209876543328e-01 2.814814814814814992e-01 2.839506172839506223e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+03 6.864197530864197816e-01 2.814814814814814992e-01 2.962962962962963076e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+03 6.802469135802469147e-01 2.864197530864197594e-01 3.086419753086419582e-02 2.469135802469135752e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
