# Time     Monomers    Dimers     Chains     Loops     Gels/Branchedchains
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+02 9.969999999999999973e-01 2.000000000000000042e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+02 9.969999999999999973e-01 2.000000000000000042e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+02 9.879999999999999893e-01 1.200000000000000025e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+02 9.829999999999999849e-01 1.700000000000000122e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+02 9.809999999999999831e-01 1.499999999999999944e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+02 9.759999999999999787e-01 2.000000000000000042e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+02 9.719999999999999751e-01 2.500000000000000139e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+03 9.689999999999999725e-01 2.699999999999999969e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+03 9.619999999999999662e-01 3.500000000000000333e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+03 9.539999999999999591e-01 4.200000000000000261e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+03 9.489999999999999547e-01 4.700000000000000011e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+03 9.469999999999999529e-01 4.900000000000000189e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+03 9.399999999999999467e-01 5.700000000000000205e-02 4.000000000000000083e-03 0.000000000000000000e+00 0.000000000000000000e+00
